font,ma,pinyin
魚,Ov,yú = ü -> v
,Ov,Ø -> v ㊟無讀音或生僻部首
,Ov,Ø -> v ㊟無讀音或生僻部首
兀,Ow,wù -> w
向,Ox,Xiàng -> x
,Ox,
舟,Oz,ZHōu -> z
冊,Pc,Cè -> c
,Pc,
,Pf,Fǔ -> f
革,Pg,Gé -> g
牛,Pn,Niú -> n
,Pn,
生,Ps,SHēng -> s
豸,Pz,ZHì -> z
丰,Qf,Fēng -> f
户,Qh,Hù -> h
戸,Qh,
尤,Qi,yóu = ióu -> i
冂,Qj,Jiǒng -> j
,Qj,
,Qj,
彑,Qj,Jì -> j
,Qj,
,Qj,
母,Qm,Mǔ -> m
鳥,Qn,Niǎo -> n
,Qn,
犬,Qq,Quǎn -> q
,Qq,
石,Qs,SHí -> s
烏,Qw,wū -> w
,Qw,
亥,Rh,Hài -> h
言,Ri,yán = ián -> i
巾,Rj,Jīn -> j
,Rj,Jiè -> j ㊟取介音j
门,Rm,Mén -> m
乃,Rn,Nǎi -> n
其,Rq,Qí -> q
十,Rs,SHi -> s
亠,Rt,Tóu = t
風,Sf,Fēng -> f
合,Sh,Hé -> h
,Sh,
,Sh,
,Si,yī = ī
,Si,yī = ī ㊟取衣音y
,Si,
几,Sj,Jǐ -> j
丂,Sk,Kào -> k
,Sk,
力,Sl,Lì -> l
目,Sm,Mù -> m
僉,Sq,Qiān -> q
殳,Ss,SHǔ -> s
田,St,Tián -> t
雨,Sv,yǔ = ǚ -> v
,Sv,Ø -> v ㊟無讀音或生僻部首
匚,Tf,Fāng -> f
,Tf,
虎,Th,Hǔ -> h
,Th,
虍,Th,
乚,Ti,yí = i
,Ti,
,Ti,
,Ti,
,Ti,
,Ti,
金,Tj,Jīn -> j
鹵,Tl,Lǔ -> l
米,Tm,Mǐ -> m
夊,Tp,Pū -> p
攵,Tp,Pū -> p
爿,Tp,Pán -> p
片,Tp,Piàn -> p
尸,Ts,SHī -> s
,Ts,
,Ts,
鱼,Tv,yú = ǘ -> v
卜,Ub,Bǔ -> b
,Ub,
辶,Uc,CHuò -> c
⻍,Uc,
广,Ug,Guǎng -> g
由,Ui,yóu = ióu -> i
人,Ur,rén -> r
糸,Us,Sī -> s
,Us,
身,Us,SHēn -> s
,Us,SHi -> s
